Smart BI Sales Report

Metric,Value
MAE,823.4801952294588
R2 Score,0.1619572990063396

Monthly Sales Trend
Month,Sales
2015-1,1686829.8
2015-2,778.0
2015-3,1618.24
2015-4,1524.88
2015-5,1524.88
2015-6,1524.88
2015-7,2543.23
2015-8,5577.402
2015-9,5998.338
2015-10,20296.864
2015-11,77907.6607
2015-12,68167.0585
2016-1,18066.9576
2016-2,11951.411
2016-3,32339.3184
2016-4,34154.4685
2016-5,29959.5305
2016-6,23599.374
2016-7,28608.259
2016-8,36818.3422
2016-9,63133.606
2016-10,31011.7375
2016-11,75249.3995
2016-12,74543.6012
2017-1,18542.490999999998
2017-2,22978.815000000002
2017-3,51165.059
2017-4,38679.767
2017-5,56656.907999999996
2017-6,39724.486
2017-7,38320.783
2017-8,30542.2003
2017-9,69193.3909
2017-10,59583.032999999996
2017-11,79066.4958
2017-12,95739.121
2018-1,43476.474
2018-2,19920.9974
2018-3,58863.4128
2018-4,35541.9101
2018-5,43825.9822
2018-6,48190.7277
2018-7,44825.104
2018-8,62837.848
2018-9,86152.88799999999
2018-10,77448.1312
2018-11,117938.155
2018-12,83030.3888

Future Sales Forecast
Month,Predicted Sales,Inventory Action
Month 1,1601.3817749999957,Reorder Stock
Month 2,127.16662499999973,Excess Stock
Month 3,594.7394799999996,Optimal Stock
Month 4,602.6411049999989,Optimal Stock
Month 5,504.8915999999997,Excess Stock
Month 6,441.43056500000074,Excess Stock
