Year,Month,Category,Sub-Category,Region,Sales
2015,1,Furniture,Bookcases,Central,141.96
2015,1,Furniture,Bookcases,East,61.96
2015,1,Furniture,Bookcases,West,806.135
2015,1,Furniture,Chairs,South,4187.700000000001
2015,1,Furniture,Furnishings,Central,364.398
2015,1,Furniture,Furnishings,East,137.044
2015,1,Furniture,Furnishings,South,165.78
2015,1,Furniture,Furnishings,West,19.3
2015,1,Furniture,Tables,West,333.0
2015,1,Office Supplies,Appliances,Central,247.716
2015,1,Office Supplies,Appliances,West,64.864
2015,1,Office Supplies,Art,Central,53.264
2015,1,Office Supplies,Art,East,19.536
2015,1,Office Supplies,Art,South,47.85
2015,1,Office Supplies,Art,West,56.339999999999996
2015,1,Office Supplies,Binders,Central,73.4
2015,1,Office Supplies,Binders,East,25.954
2015,1,Office Supplies,Binders,South,682.8140000000001
2015,1,Office Supplies,Binders,West,32.34
2015,1,Office Supplies,Envelopes,South,85.64
2015,1,Office Supplies,Envelopes,West,108.72
2015,1,Office Supplies,Fasteners,South,31.12
2015,1,Office Supplies,Labels,Central,11.784
2015,1,Office Supplies,Labels,East,30.072
2015,1,Office Supplies,Labels,South,2.89
2015,1,Office Supplies,Paper,Central,27.008000000000003
2015,1,Office Supplies,Paper,East,37.408
2015,1,Office Supplies,Paper,South,42.660000000000004
2015,1,Office Supplies,Paper,West,134.944
2015,1,Office Supplies,Storage,Central,583.236
2015,1,Office Supplies,Storage,South,1062.5
2015,1,Office Supplies,Storage,West,1383.08
2015,1,Technology,Accessories,Central,31.2
2015,1,Technology,Accessories,South,796.69
2015,1,Technology,Phones,East,124.2
2015,1,Technology,Phones,South,2191.2
2015,2,Furniture,Chairs,Central,60.89
2015,2,Furniture,Chairs,West,129.568
2015,2,Furniture,Furnishings,Central,378.42
2015,2,Furniture,Furnishings,West,14.56
2015,2,Furniture,Tables,South,1256.22
2015,2,Office Supplies,Appliances,Central,7.96
2015,2,Office Supplies,Appliances,West,81.96
2015,2,Office Supplies,Art,Central,54.208
2015,2,Office Supplies,Art,East,19.456
2015,2,Office Supplies,Binders,Central,84.85
2015,2,Office Supplies,Binders,South,35.796
2015,2,Office Supplies,Binders,West,218.616
2015,2,Office Supplies,Fasteners,West,12.35
2015,2,Office Supplies,Labels,Central,21.875999999999998
2015,2,Office Supplies,Labels,South,15.0
2015,2,Office Supplies,Paper,Central,16.176
2015,2,Office Supplies,Paper,West,122.31200000000001
2015,2,Office Supplies,Storage,Central,77.58399999999999
2015,2,Office Supplies,Storage,East,64.96
2015,2,Office Supplies,Supplies,West,238.62
2015,2,Technology,Accessories,Central,531.21
